"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","253218","test_full_cluster_crash","tests.integration.ha_tests","Thu Aug 01 01:47:41 UTC 2024","passed","Thu Aug 01 01:51:54 UTC 2024","","test_ha","",""
"","16","test_application_is_up[2]","tests.integration","Thu Aug 01 01:37:50 UTC 2024","passed","Thu Aug 01 01:37:50 UTC 2024","","test_charm","",""
"","47784","test_freeze_db_process","tests.integration.ha_tests","Thu Aug 01 01:45:57 UTC 2024","passed","Thu Aug 01 01:46:44 UTC 2024","","test_ha","",""
"Build the charm-under-test and deploy it to the model.

    Assert that the application is active and the replica set is healthy.
    ","63663","test_build_and_deploy","tests.integration","Thu Aug 01 01:36:10 UTC 2024","passed","Thu Aug 01 01:37:14 UTC 2024","","test_teardown","",""
"Tests juju add-unit functionality.

    Verifies that when a new unit is added to the MongoDB application that it is added to the
    MongoDB replica set configuration.
    ","80312","test_scale_up_capablities","tests.integration.ha_tests","Thu Aug 01 01:40:40 UTC 2024","passed","Thu Aug 01 01:42:00 UTC 2024","","test_ha","",""
"Verify each unit has TLS enabled after relating to the TLS application.","69007","test_enable_tls","tests.integration.tls_tests","Thu Aug 01 01:38:19 UTC 2024","passed","Thu Aug 01 01:39:28 UTC 2024","","test_tls","",""
"Test verifies that we can set and retrieve the correct password using Juju 3.x secrets.","5457","test_reset_and_get_password_secret_same_as_cli","tests.integration","Thu Aug 01 01:50:30 UTC 2024","passed","Thu Aug 01 01:50:36 UTC 2024","","test_charm","",""
"Tests clusters behavior when scaling down a minority and removing a primary replica.","79335","test_scale_down_capablities","tests.integration.ha_tests","Thu Aug 01 01:42:05 UTC 2024","passed","Thu Aug 01 01:43:25 UTC 2024","","test_ha","",""
"","45876","test_restart_db_process","tests.integration.ha_tests","Thu Aug 01 01:46:50 UTC 2024","passed","Thu Aug 01 01:47:35 UTC 2024","","test_ha","",""
"Test that an application can connect to different clusters of the same database.","29118","test_an_application_can_connect_to_multiple_aliased_database_clusters","tests.integration.relation_tests","Thu Aug 01 01:45:54 UTC 2024","passed","Thu Aug 01 01:46:23 UTC 2024","","test_charm_relations","",""
"Test that the password can't be set to an empty string.","4123","test_empty_password","tests.integration","Thu Aug 01 01:50:36 UTC 2024","passed","Thu Aug 01 01:50:40 UTC 2024","","test_charm","",""
"Tests that the cluster can safely set the operator password.","53363","test_set_operator_password[operator]","tests.integration.sharding_tests","Thu Aug 01 01:49:28 UTC 2024","passed","Thu Aug 01 01:50:21 UTC 2024","","test_sharding","",""
